id	module	ip	mac	MQTT_GRPTOPIC	APP_POWERON_STATE	MQTT_FULLTPIC	FRIENDLY_NAME	MQTT_TOPIC	comments
001	SONOFF_BASIC	x	5C:CF:7F:1B:D4:CA	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
002	SONOFF_BASIC	x	5C:CF:7F:1B:CF:BC	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
003	SONOFF_BASIC	x	5C:CF:7F:1B:CF:FA	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
004	SONOFF_BASIC	x	5C:CF:7F:1C:7B:CB	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
005	SONOFF_BASIC	x	5C:CF:7F:1B:EF:5E	lights/emergency	1	%prefix%/i3/inside/%topic%/	light id	lights/id
006	SONOFF_BASIC	x	5C:CF:7F:1B:EA:25	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
007	SONOFF_BASIC	x	5C:CF:7F:1B:DF:BF	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
008	SONOFF_BASIC	x	60:01:94:00:53:B3	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	electrodragon
009	SONOFF_BASIC	x	60:01:94:00:58:18	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	electrodragon
010	SONOFF_BASIC	x	60:01:94:00:BB:79	lights/emergency	1	%prefix%/i3/inside/%topic%/	light id	lights/id	electrodragon
011	SONOFF_BASIC	x	5C:CF:7F:1C:B3:6E	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id
012	ABZMAN_OUTLET	x	38:2B:78:01:8B:0A	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	unmodified ct-065w eco plug
013	ABZMAN_OUTLET	x	38:2B:78:01:88:A5	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	unmodified ct-065w eco plug
014	ABZMAN_OUTLET	x	38:2B:78:01:84:90	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	modified ct-065w eco plug
015	ABZMAN_OUTLET	x	5C:CF:7F:04:E6:2C	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	modified and broken ct-065w eco plug; Has an esp-12 module instead of default because the magic smoke left, and the voltage current sense was cut.
016	SONOFF_BASIC	x	60:01:94:00:5B:98	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	electrodragon; programming via pin header does not work
017	ABZMAN_OUTLET	x	38:2B:78:01:8B:92	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	modified ct-065w eco plug
018	SONOFF_BASIC	x	60:01:94:00:54:2B	lights/east	1	%prefix%/i3/inside/%topic%/	light id	lights/id	electrodragon
